Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,24021.2501413306
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3913.12643969301
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,828.709080522921
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,39212.5111497975
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24975.4166431436
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,6020.63670154835
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9034.43209100317
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35374.6443827131
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,63067.0695697911
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5950.82866866702
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48358.1807773701
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1893.88268968493
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40408.2848574751
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,21582.5892046801
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7441.1786472281
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,738.186751987483
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4741.2832715876
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47623.8656074829
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2186.65822682613
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19335.3602002969
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,53309.2035905065
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,10462.7929159533
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,39274.9431424899
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4511.99755157656
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1031.34146480732
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,807.425524872835
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6405.82443444562
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1352.17204191532
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,984.570661558163
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,41351.4989053257
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2502.32744328073
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48359.0011950597
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,17012.8598553199
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6517.95432240943
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68452.23622306
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5169.58132257986
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1878.13375771486
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1194.07215693518
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1434.20463760134
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2041.42863698585
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4106.94856160358
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3831.27894763337
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5671.8568632942
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,81810.1926481407
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,87127.5517977404
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44250.6313628073
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33812.788724868
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5607.24299266608
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.9567649547
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4170.1144003465
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9457.12614657136
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1960.40808854893
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1750.9977188915
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169048194
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4415.99716107514
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,31707.8737464917
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1421.99927504102
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2589.32081035237
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,10112.2012892771
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8830.22782156102
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8266.47471229954
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8654.9472124286
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17294.9751600969
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1104.18633151052
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8905.88005497437
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1082.05706777516
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,658.164180770507
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,9963.19489084483
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,166907.839305016
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19608.7943945553
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4904.42291649615
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,654.940947912545
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2153.95427108494
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,112696.649059674
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,81967.699172769
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,499.818837622534
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,580.889816066776
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,10920.191763972
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,11740.2724029785
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,971.949318638092
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,32421.9179753188
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,5292.33985502306
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1767.072710621
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11403.2527870674
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10369.5553585271
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3572.65918282222
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,5371.48987165166
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,2674.37046083008
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,2667.55895258895
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5310.45350032975
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4405.33418162155
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,193746.785647412
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4347.54610314873
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8842.48528706869
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3508.09765625
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,519.09255091362
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1425.98954211903
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4731.9210318831
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10776.8284610316
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1203.14294706401
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,53554.9007491475
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,33411.3358835672
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42779.2298164101
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1958.62051528095
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,561.691304349698
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2265.15520863056
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,63306.7999807977
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6718.85826635458
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,24496.6652122421
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,76430.5889473338
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39718.0136147565
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,19180.1864152801
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12871.1657622001
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4170.32120953703
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1390.41690981745
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15841.1956399595
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,16477.9066285687
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2575.77274140393
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5821.18199548637
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,7037.00803692604
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3400.78949767074
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15874.5220531254
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23343.3628970034
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45864.970468297
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1476.62187329691
Puerto Rico (US),PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,31830.5284993358
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,66841.3013484919
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12992.0326104674
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11447.701171875
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,810.051412137354
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4351.94234943706
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,46627.0122356944
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1935.2931816596
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,29566.7933827436
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1431.18128932159
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7755.632986437
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,19141.5118743615
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,844.049555179116
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,65952.0378959293
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,34861.469528968
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19406.0589683582
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25814.1687167572
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,11958.5107041682
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2223.66502559565
"Somalia, Fed. Rep.",SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,539.893931565407
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6533.71121032856
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2067.05975687637
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,2067.05975687637
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29786.5245689007
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,4081.94772722003
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,23595.4923231291
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11794.0597229805
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,19033.0594854512
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,8740.59425232061
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1617.66888069241
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1705.21463047615
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1617.66888069241
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,709.975280761719
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6629.66775248603
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51773.0464558993
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84121.9310304414
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,1109.53926036049
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,871.022372934846
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1063.32250976563
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7605.69657797759
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1562.36458068032
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,826.260654099894
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4676.84802517145
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,17293.4730123427
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3528.87213306798
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9215.44049888114
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,6648.0348960628
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,31780.5217068989
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,5115.13075950206
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,822.171150141651
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3619.86157226563
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,44251.4541398817
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42794.0022648288
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65227.9565911038
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,8647.39963930799
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,18315.7316980028
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,2041.38480729431
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3207.44650452083
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3440.90025375434
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,38633.5298915336
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3656.85827137011
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,11376.8233409998
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1258.98619844462
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1683.91313584141
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
